seq,recv_bytes,latency_us,recv_ns
548,512,117,824947622932123
549,512,130,824947624314588
550,512,131,824947625683137
551,512,141,824947627052602
552,512,93,824947628314512
553,512,102,824947629663650
554,512,87,824947631024481
555,512,83,824947632370142
556,512,64,824947633664496
557,512,61,824947634984079
558,512,64,824947636285397
559,512,52,824947637612354
560,512,53,824947638809501
561,512,52,824947640066452
562,512,45,824947641231738
563,512,46,824947642518458
564,512,44,824947643803265
565,512,44,824947645131938
566,512,49,824947646216456
567,512,41,824947647525408
568,512,44,824947648816224
569,512,48,824947650107390
570,512,42,824947651399658
571,512,45,824947652723642
572,512,44,824947654008475
573,512,44,824947655294724
574,512,52,824947656618201
575,512,46,824947657904498
576,512,45,824947659189844
577,512,43,824947660474262
578,512,40,824947661567918
579,512,43,824947662853684
580,512,41,824947663982336
581,512,39,824947665263332
582,512,81,824947666640735
583,512,39,824947667909245
584,512,40,824947669192138
585,512,87,824947670516816
586,512,85,824947671859038
587,512,41,824947673114348
588,512,40,824947674396828
589,512,41,824947675680718
590,512,42,824947676996867
591,512,41,824947678151464
592,512,67,824947679470365
593,512,40,824947680638241
594,512,44,824947681929087
595,512,40,824947683206704
596,512,41,824947684491591
597,512,40,824947685772532
598,512,41,824947687055165
599,512,43,824947688293329
600,512,40,824947689572968
601,512,38,824947690853370
602,512,41,824947692055109
603,512,38,824947693336631
604,512,41,824947694620987
605,512,42,824947695949691
606,512,41,824947697230599
607,512,40,824947698512903
608,512,41,824947699668549
609,512,40,824947700950937
610,512,40,824947702233305
611,512,69,824947703578521
612,512,39,824947704857437
613,512,54,824947706216780
614,512,38,824947707497674
615,512,43,824947708783928
616,512,43,824947710067870
617,512,41,824947711282136
618,512,86,824947712556082
619,512,42,824947713705803
620,512,62,824947714991206
621,512,73,824947716308971
622,512,43,824947717558684
623,512,42,824947718842608
624,512,41,824947720155623
625,512,42,824947721441921
626,512,44,824947722733738
627,512,42,824947723934830
628,512,42,824947725218811
629,512,41,824947726355621
630,512,41,824947727639544
631,512,41,824947728921320
632,512,41,824947730158123
633,512,45,824947731446354
634,512,39,824947732721635
635,512,37,824947734076449
636,512,75,824947735421332
637,512,44,824947736709480
638,512,44,824947738005655
